Kommune,lat,lon
Sømna,65.3100,12.1000
Brønnøy,65.4600,12.2100
Vega,65.6800,11.9500
Vevelstad,65.6600,12.4200
Herøy,65.9900,12.3000
Alstahaug,66.0200,12.6300
Leirfjord,66.0700,13.1200
Vefsn,65.8400,13.1900
Grane,65.4800,13.8700
Hattfjelldal,65.5900,13.9900
Dønna,66.1000,12.5300
Nesna,66.2000,13.0200
Hemnes,66.0800,13.8100
Rana,66.3750,14.1400
Lurøy,66.4000,12.8000
Træna,66.5000,12.1000
Rødøy,66.7000,13.0000
Meløy,66.8700,13.8000
Gildeskål,67.0300,14.0700
Beiarn,67.0000,14.7000
Saltdal,67.1000,15.6000
Fauske,67.2600,15.3900
Sørfold,67.3500,15.6000
Steigen,67.7700,15.0100
Lødingen,68.4100,15.9900
Evenes,68.5200,16.6800
Røst,67.5200,12.1000
Værøy,67.6600,12.6800
Flakstad,68.0800,13.2200
Vestvågøy,68.1500,13.6100
Vågan,68.2300,14.5600
Hadsel,68.5600,14.9200
Bø,68.6200,14.4700
Øksnes,68.9200,15.2500
Sortland,68.7000,15.4100
Andøy,69.0800,15.6400
Moskenes,67.9300,12.9700
Hamarøy,68.1000,15.5000
Tromsø,69.6490,18.9550
Harstad,68.7980,16.5410
Kvæfjord,68.7700,16.0500
Tjeldsund,68.5400,16.6000
Ibestad,68.8000,17.2500
Gratangen,68.6800,17.5400
Lavangen,68.7300,17.8300
Bardu,68.8600,18.3500
Salangen,68.8700,17.8500
Målselv,69.0500,18.5500
Sørreisa,69.1500,18.1500
Dyrøy,69.1000,17.8500
Senja,69.3000,17.0000
Balsfjord,69.3200,19.2000
Karlsøy,69.7000,19.6000
Lyngen,69.5800,20.2000
Storfjord,69.2500,20.3000
Kåfjord,69.6100,20.5500
Skjervøy,70.0300,20.9700
Nordreisa,69.8000,21.2000
Kvænangen,69.9200,22.1000
Alta,69.9680,23.2710
Hammerfest,70.6630,23.6820
Sør-Varanger,69.7280,30.0420
Vadsø,70.0740,29.7480
Karasjok,69.4710,25.5140
Kautokeino,69.0120,23.0410
Loppa,70.3300,21.5000
Hasvik,70.5000,22.0000
Måsøy,70.9900,24.6600
Nordkapp,71.1700,25.7800
Porsanger,70.0500,25.0600
Lebesby,70.9600,27.3500
Gamvik,71.0400,27.8500
Tana,70.1990,28.1890
Berlevåg,70.8600,29.0900
Båtsfjord,70.6000,29.7200
Vardø,70.3700,31.1100
Nesseby,70.1700,28.5600
